"tested_param","Markers","LL","BICc","BIC","AIC","beta_immuno","beta_immuno_sd"
"beta","ECL",-345.019,758.735,724.723,714.038,1.32287849355356e-05,2.91154412653403e-06
"delta","ECL",-352.924,774.545,740.533,729.848,-6.7716875516815e-07,6.16305490439742e-07
"beta","Marker2",-352.113,772.922,738.91,728.226,3.59445325678083e-06,1.25340179284208e-06
"delta","Marker2",-352.123,772.943,738.931,728.246,-5.82421697810997e-07,7.81133342818349e-07
"beta","Marker3",-353.801,776.299,742.287,731.602,1.30557468013315e-07,3.08608170313915e-08
"delta","Marker3",-353.898,776.493,742.481,731.796,-1.01654320348335e-07,2.83138473213615e-07
"None","Group",-354.2015,764.517,737.307,728.403,NA,NA
"beta","Group",-335.7725,733.439,706.229,695.545,NA,NA
"delta","Group",-348.724,759.342,732.133,721.448,NA,NA
"both","Group",-334.8005,737.276,710.066,697.601,NA,NA
