"tested_param","Markers","beta_N_pow","delta_N"
"beta","ECL",0.302602025014936,0.409613679387692
"delta","ECL",1.08067183087221,0.175313130483338
"beta","Marker2",0.847337609302401,0.295486847459569
"delta","Marker2",1.09485224894094,0.162484474619877
"beta","Marker3",1.11888027824129,0.250377192695949
"delta","Marker3",1.11334547438574,0.262579551590235
"None","Group",1.13174596937737,0.265209463673878
"beta","Group",0.298890302344378,0.202102212020079
"delta","Group",0.74627701505947,0.109449927987986
"both","Group",0.314650240998428,0.169267261161653
